"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Application Number / Monograph ID","Labeler Name","Product NDC","Non Proprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through"
"ENDOCET","60951-602-70","325mg/1, 5 mg/1","TABLET","ORAL","ANDA040330","ENDO USA, Inc.","60951-602","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/26/2000","N/A","ANDA","100 TABLET in 1 BOTTLE (60951-602-70)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","60951-602-85","325mg/1, 5 mg/1","TABLET","ORAL","ANDA040330","ENDO USA, Inc.","60951-602","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/26/2000","N/A","ANDA","500 TABLET in 1 BOTTLE (60951-602-85)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","60951-700-70","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA040330","ENDO USA, Inc.","60951-700","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/06/2003","N/A","ANDA","100 TABLET in 1 BOTTLE (60951-700-70)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","60951-701-70","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA040330","ENDO USA, Inc.","60951-701","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/06/2003","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (60951-701-70)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","60951-712-70","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","ENDO USA, Inc.","60951-712","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/06/2003","N/A","ANDA","100 TABLET in 1 BOTTLE (60951-712-70)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","63629-2187-1","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","63629-2187","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/08/2024","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (63629-2187-1)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","63629-2188-1","325mg/1, 5 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","63629-2188","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/26/2000","N/A","ANDA","100 TABLET in 1 BOTTLE (63629-2188-1)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","63629-2189-1","325mg/1, 5 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","63629-2189","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/26/2000","N/A","ANDA","500 TABLET in 1 BOTTLE (63629-2189-1)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","63629-2190-1","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","63629-2190","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/08/2024","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (63629-2190-1)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-1","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/21/2022","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-2182-1)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
