,NDC Code,Name,count
0,45052660.0,OXYCODONE ,4
1,45052660.0,TYLOX     ,339
2,45052660.0,TYLOX  R) ,28
3,45052660.0,TYLOX (R) ,138
4,45052660.0,TYLOX (r) ,511
5,45052660.0,TYLOX 5-50,68
6,45052660.0,TYLOX 5/50,197
7,45052660.0,TYLOX 5MG-,18
8,45052679.0,OXYCODONE ,1
9,45052679.0,TYLOX     ,131
10,45052679.0,TYLOX  R) ,16
11,45052679.0,TYLOX (R) ,75
12,45052679.0,TYLOX (r) ,248
13,45052679.0,TYLOX 5-50,22
14,45052679.0,TYLOX 5/50,95
15,45052679.0,TYLOX 5MG-,3
16,54039041.0,OXYCODONE ,816
17,54039041.0,Oxycodone ,317
18,54039041.0,oxycodone hydrochloride|oxycodone hydrochloride,1
19,54039063.0,OXYCODONE ,2005
20,54039063.0,Oxycodone ,862
21,54039063.0,oxycodone hydrochloride|oxycodone hydrochloride,1
22,54039344.0,OXYCODONE ,56
23,54039344.0,Oxycodone ,85
24,54052244.0,OXYCODONE ,169
25,54052244.0,Oxycodone ,126
26,54052341.0,OXYCODONE ,154
27,54052341.0,Oxycodone ,79
28,54052363.0,OXYCODONE ,528
29,54052363.0,Oxycodone ,353
30,54055125.0,OXYCOD/APA,6
31,54055125.0,OXYCODONE ,86
32,54055125.0,OXYCODONE-,954
33,54055125.0,OXYCODONE/,21
34,54055125.0,Oxycodone ,713
35,54055129.0,OXYCOD/APA,2
36,54055129.0,OXYCODONE ,31
37,54055129.0,OXYCODONE-,94
38,54055129.0,Oxycodone ,122
39,54279525.0,OXYCOD/APA,71
40,54279525.0,OXYCODONE ,566
41,54279525.0,OXYCODONE-,745
42,54279525.0,OXYCODONE/,12
43,54279525.0,ROXILOX   ,69
44,54279525.0,ROXILOX 50,26
45,54279525.0,ROXILOX 5M,1145
46,54368263.0,OXYCODONE ,4
47,54368263.0,ROXICODON ,658
48,54368263.0,ROXICODONE,507
49,54368344.0,OXYCODONE ,5
50,54368344.0,ROXICODONE,963
51,54368663.0,OXYCODONE ,1
52,54465325.0,OXYCODONE/,3
53,54465325.0,ROXIPRIN  ,87
54,54465325.0,ROXIPRIN 4,52
55,54465325.0,ROXIPRIN T,259
56,54465331.0,ROXIPRIN  ,2
57,54465331.0,ROXIPRIN T,10
58,54465725.0,OXYCODONE ,3
59,54465725.0,ROXICODONE,1373
60,54465825.0,OXYCODONE ,5
61,54465825.0,ROXICODONE,1142
62,54466525.0,OXYCODONE ,5
63,54466525.0,ROXICODONE,1036
64,54478425.0,OXYCODONE ,5
65,54865324.0,ROXIPRIN  ,5
66,54865324.0,ROXIPRIN T,22
67,54865724.0,ROXICODONE,733
68,54865824.0,ROXICODONE,156
69,54866524.0,OXYCODONE ,1
70,54866524.0,ROXICODONE,178
71,54878216.0,ROXICODONE,136
72,60013570.0,PERCODAN  ,1
73,87004041.0,MAGNACAL R,1
74,87004042.0,MAGNACAL R,14
75,93002401.0,OXYCODONE ,677
76,93003101.0,OXYCODONE ,719
77,93003201.0,OXYCODONE ,730
78,93003301.0,OXYCODONE ,1063
79,93573101.0,OXYCODONE ,1912
80,93573201.0,OXYCODONE ,1855
81,93573301.0,OXYCODONE ,1498
82,93573301.0,Oxycodone Hydrochloride|Oxycodone Hydrochloride,1
83,93573401.0,OXYCODONE ,1086
84,93573401.0,Oxycodone Hydrochloride|Oxycodone Hydrochloride,1
85,115155601.0,OXYCODONE ,486
86,115155601.0,Oxycodone ,294
87,115155701.0,OXYCODONE ,331
88,115155701.0,Oxycodone ,169
89,115155801.0,OXYCODONE ,497
90,115155801.0,Oxycodone ,283
91,115155901.0,OXYCODONE ,375
92,115155901.0,Oxycodone ,216
93,115156001.0,OXYCODONE ,391
94,115156001.0,Oxycodone ,224
95,115156101.0,OXYCODONE ,275
96,115156101.0,Oxycodone ,197
97,115156201.0,OXYCODONE ,269
98,115156201.0,Oxycodone ,141
99,115164401.0,OXYCODONE ,351
100,115702601.0,OXYCODONE ,209
101,121082601.0,OXYCODONE ,252
102,121082601.0,OXYCODONE HYDROCHLORIDE|OXYCODONE HYDROCHLORIDE,1
103,121082601.0,Oxycodone ,82
104,121082704.0,OXYCODONE HYDROCHLORIDE|OXYCODONE HYDROCHLORIDE,1
105,121082716.0,OXYCODONE HYDROCHLORIDE|OXYCODONE HYDROCHLORIDE,1
106,121482705.0,OXYCODONE ,154
107,121482740.0,OXYCODONE ,90
108,121482740.0,OXYCODONE HYDROCHLORIDE|OXYCODONE HYDROCHLORIDE,1
109,121482750.0,OXYCODONE ,15
110,121482750.0,OXYCODONE HYDROCHLORIDE|OXYCODONE HYDROCHLORIDE,1
111,121483905.0,OXYCODONE ,98
112,121483905.0,Oxycodone ,102
113,121483940.0,OXYCODONE ,30
114,121483940.0,Oxycodone ,30
115,144063001.0,OXYCODONE ,6
116,172635460.0,OXYCODONE ,300
117,172635460.0,Oxycodone ,83
118,172635560.0,OXYCODONE ,341
119,172635560.0,Oxycodone ,85
120,172635660.0,OXYCODONE ,326
121,172635660.0,Oxycodone ,81
122,172635760.0,OXYCODONE ,244
123,172635760.0,Oxycodone ,61
124,182146501.0,OXYCODONE ,358
125,182146505.0,OXYCODONE ,271
126,182150801.0,OXYCODONE ,31
127,182150801.0,OXYCODONE/,5
128,182150805.0,OXYCODONE ,10
129,182150805.0,OXYCODONE/,1
130,182917501.0,OXYCODONE ,340
131,182917501.0,OXYCODONE/,4
132,228287611.0,OXYCODONE ,573
133,228287811.0,OXYCODONE ,3053
134,228287911.0,OXYCODONE ,2876
135,228298111.0,OXYCOD/APA,2
136,228298111.0,OXYCODONE ,454
137,228298111.0,OXYCODONE-,486
138,228298111.0,OXYCODONE/,7
139,228298150.0,OXYCOD/APA,9
140,228298150.0,OXYCODONE ,828
141,228298150.0,OXYCODONE-,910
142,228298150.0,OXYCODONE/,20
143,228298211.0,OXYCOD/APA,10
144,228298211.0,OXYCODON-A,338
145,228298211.0,OXYCODONE ,773
146,228298211.0,OXYCODONE-,541
147,228298211.0,OXYCODONE/,20
148,228298311.0,OXYCOD/APA,11
149,228298311.0,OXYCODONE ,822
150,228298311.0,OXYCODONE-,930
151,228298311.0,OXYCODONE/,24
152,228402911.0,OXYCOD/IBU,4
153,228402911.0,OXYCODONE ,140
154,228402911.0,OXYCODONE-,80
155,228402911.0,OXYCODONE/,222
156,228402911.0,Oxycodone/,6
157,254483228.0,OXYCODONE ,118
158,254483228.0,OXYCODONE/,228
159,254483928.0,OXYCODONE ,20
160,254483928.0,OXYCODONE/,16
161,254483935.0,OXYCODONE ,16
162,254483935.0,OXYCODONE/,29
163,349865901.0,OXYCODONE ,22
164,349883101.0,OXYCODONE ,2
165,349885901.0,OXYCODONE ,7
166,349885905.0,OXYCODONE ,2
167,364060501.0,OXYCODONE ,32
168,364060501.0,OXYCODONE/,79
169,364060505.0,OXYCODONE ,37
170,364060505.0,OXYCODONE/,81
171,364060505.0,Oxycodone/,1
172,364239501.0,OXYCODONE ,24
173,364239501.0,OXYCODONE/,81
174,364239501.0,Oxycodone/,2
175,378611201.0,OXYCODONE ,1576
176,378611301.0,OXYCODONE ,1373
177,378611401.0,OXYCODONE ,1301
178,378611701.0,OXYCOD/ASA,36
179,378611701.0,OXYCODONE ,643
180,378611701.0,OXYCODONE-,224
181,378611701.0,OXYCODONE/,6
182,378710301.0,OXYCOD/APA,63
183,378710301.0,OXYCODON-A,392
184,378710301.0,OXYCODONE ,702
185,378710301.0,OXYCODONE-,547
186,378710301.0,OXYCODONE/,23
187,378710401.0,OXYCOD/APA,63
188,378710401.0,OXYCODONE ,672
189,378710401.0,OXYCODONE-,858
190,378710401.0,OXYCODONE/,8
191,378710501.0,OXYCOD/APA,68
192,378710501.0,OXYCODON-A,456
193,378710501.0,OXYCODONE ,864
194,378710501.0,OXYCODONE-,609
195,378710501.0,OXYCODONE/,29
196,378710601.0,OXYCOD/APA,76
197,378710601.0,OXYCODONE ,999
198,378710601.0,OXYCODONE-,606
199,378710601.0,OXYCODONE/,14
200,378710701.0,OXYCOD/APA,54
201,378710701.0,OXYCODON-A,222
202,378710701.0,OXYCODONE ,638
203,378710701.0,OXYCODONE-,43
204,378710701.0,OXYCODONE/,13
205,378710801.0,OXYCOD/APA,45
206,378710801.0,OXYCODONE ,577
207,378710801.0,OXYCODONE-,272
208,378710801.0,OXYCODONE/,11
209,406051201.0,          ,2
210,406051201.0,OXYCOD/APA,90
211,406051201.0,OXYCODONE ,3691
212,406051201.0,OXYCODONE AND ACETAMINOPHEN|oxycodone hydrochloride and acetaminophen,1
213,406051201.0,OXYCODONE-,2911
214,406051201.0,OXYCODONE/,56
215,406051201.0,UNKNOWN   ,1
216,406051205.0,          ,3
217,406051205.0,OXYCOD/APA,90
218,406051205.0,OXYCODONE ,3645
