Year,Quarter,State,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
2000,1,AK,373523.0,5639.0,566732.96,0.0,0.0
2000,1,AL,372145.0,8677.0,753847.31,0.0,0.0
2000,1,AR,250470.0,3824.0,392704.79000000004,0.0,0.0
2000,1,CA,1881300.0,16413.0,3489609.59,0.0,0.0
2000,1,CO,328737.0,6722.0,360848.2800000001,0.0,0.0
2000,1,CT,772960.0,13208.0,1022478.6499999999,0.0,0.0
2000,1,DC,84900.0,1689.0,88841.65999999999,0.0,0.0
2000,1,DE,294295.0,5326.0,257004.71,0.0,0.0
2000,1,FL,2299132.0,37412.0,4226339.850000001,0.0,0.0
2000,1,GA,1051854.0,20965.0,1572400.1900000002,0.0,0.0
2000,1,HI,121484.0,1853.0,174339.47000000003,0.0,0.0
2000,1,IA,193971.0,3404.0,252305.55,0.0,0.0
2000,1,ID,95994.0,1570.0,194381.48,0.0,0.0
2000,1,IL,288131.0,4020.0,560404.59,0.0,0.0
2000,1,IN,116791.0,1721.0,357096.41000000003,348286.53,8809.880000000001
2000,1,KS,38668.0,462.0,99350.68999999999,2947.76,0.0
2000,1,KY,258084.0,4248.0,433417.76,5457.83,0.0
2000,1,LA,479144.0,9667.0,659438.2799999999,8094.0,0.0
2000,1,MA,2260058.0,34469.0,2487517.909999999,0.0,0.0
2000,1,MD,385079.0,7145.0,424674.61999999994,0.0,0.0
2000,1,ME,784878.0,13249.0,983415.75,0.0,0.0
2000,1,MI,474887.0,6315.0,974401.56,0.0,0.0
2000,1,MO,818697.0,12635.0,1402521.3599999999,0.0,0.0
2000,1,MT,171464.0,3320.0,187181.75,0.0,0.0
2000,1,NC,1929053.0,31597.0,2124985.7500000005,1568028.33,0.0
2000,1,ND,38258.0,874.0,51916.0,0.0,0.0
2000,1,NE,181561.0,3377.0,197819.49,0.0,0.0
2000,1,NH,282424.0,5480.0,398616.4300000001,398616.4300000001,0.0
2000,1,NJ,1124972.0,18594.0,1252474.6,10175.98,0.0
2000,1,NM,97098.0,1271.0,129287.90999999999,0.0,0.0
2000,1,NV,108507.0,1633.0,236295.93999999997,236295.93999999997,0.0
2000,1,NY,2176095.0,19949.0,2000950.5899999999,34505.259999999995,0.0
2000,1,OH,1749741.0,33036.0,2778048.42,0.0,0.0
2000,1,OK,265509.0,3844.0,356209.01,9731.5,0.0
2000,1,OR,374976.0,5851.0,441303.18,0.0,0.0
2000,1,RI,171977.0,2659.0,233720.59999999995,0.0,0.0
2000,1,SC,741716.0,13602.0,1107148.3800000001,730224.54,0.0
2000,1,SD,23932.0,520.0,29526.43,448.26,0.0
2000,1,TX,473154.0,4886.0,1067475.55,0.0,0.0
