Year,State,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
2000,AK,1690161.547,25524.0,2748658.91,0.0,0.0
2000,AL,1899487.009,43716.0,4096281.9399999995,0.0,0.0
2000,AR,1158589.0,17751.0,1915356.5499999998,0.0,0.0
2000,CA,6801770.0,60549.0,13269263.620000001,0.0,0.0
2000,CO,1177812.0010000002,23226.0,1345382.25,0.0,0.0
2000,CT,3451891.269,58461.0,5116650.649999999,0.0,0.0
2000,DC,390553.0,7016.0,562985.4299999999,0.0,0.0
2000,DE,986781.0,17947.0,944149.1499999999,0.0,0.0
2000,FL,11215995.91,181924.0,22670430.7,0.0,0.0
2000,GA,4805800.0,94641.0,7854110.56,2051469.48,0.0
2000,HI,540192.0,8059.0,843019.4199999999,0.0,0.0
2000,IA,501946.0,8083.0,745904.4,0.0,0.0
2000,ID,391564.0,6551.0,792010.7100000001,0.0,0.0
2000,IL,1421012.0,20631.0,2730319.4400000004,0.0,0.0
2000,IN,2353637.0,37890.0,4452667.02,2812400.6900000004,78393.38999999998
2000,KS,776653.0,12372.0,1383884.2,20056.629999999997,0.0
2000,KY,1546659.0,23906.0,2850558.73,553113.5,0.0
2000,LA,2278890.0,44767.0,3652712.0,33307.240000000005,0.0
2000,MA,9817186.0,151582.0,12155686.98,0.0,0.0
2000,MD,1051345.0,18741.0,1111694.38,0.0,0.0
2000,ME,3334347.0,54516.0,4257468.93,0.0,0.0
2000,MI,2063353.0,25302.0,4498463.48,0.0,0.0
2000,MN,1221004.253,20786.0,1395941.0799999998,0.0,0.0
2000,MO,4016626.0,61137.0,7367026.17,0.0,0.0
2000,MS,1126560.021,21638.0,2494630.02,0.0,0.0
2000,MT,749535.716,14060.0,906218.9800000002,0.0,0.0
2000,NC,9126601.0,149380.0,10976075.920000002,5529200.78,0.0
2000,ND,190946.0,3971.0,269690.12,0.0,0.0
2000,NE,839223.0,15631.0,990975.26,0.0,0.0
2000,NH,1341984.0,26088.0,1956302.2000000002,1919926.4500000002,0.0
2000,NJ,4942946.0,81559.0,6260884.199999999,54184.64,0.0
2000,NM,390731.0,4968.0,592391.32,0.0,0.0
2000,NV,529484.0,7770.0,1185755.47,1185755.47,0.0
2000,NY,9498518.0,86202.0,9413462.059999999,148777.97999999998,0.0
2000,OH,8552227.0,160905.0,14468639.25,0.0,0.0
2000,OK,1224276.69,17471.0,1851941.23,38758.92,0.0
2000,OR,1786526.4,27439.0,2215702.6500000004,0.0,0.0
2000,PA,4522028.0,80125.0,6714987.46,0.0,0.0
2000,RI,805231.0,12631.0,1254542.0999999999,0.0,0.0
2000,SC,3716990.0,63752.0,6616142.08,5587186.87,0.0
2000,SD,174109.0,3380.0,219196.63,3109.21,0.0
2000,TN,1566506.0,27131.0,2044642.0100000002,0.0,0.0
2000,TX,2249197.0,23227.0,5460371.26,1223022.42,0.0
2000,UT,745058.0,15760.0,1016416.5300000003,0.0,0.0
2000,VA,3829239.0,64999.0,5166374.09,0.0,0.0
2000,VT,140990.0,3266.0,230738.66,0.0,0.0
2000,WA,6342380.0,97497.0,8405275.63,0.0,0.0
2000,WI,3750323.0,58361.0,5468428.0600000005,0.0,0.0
2000,WV,2989246.35,52186.0,4697218.22,0.0,0.0
2000,WY,188150.0,3684.0,178942.47000000003,0.0,0.0
2000,XX,138989559.81599998,2176602.0,214552052.54000002,21194252.94,78393.39
2001,AK,2419982.0,32387.0,4625141.57,0.0,0.0
2001,AL,2281121.43,49521.0,5299651.01,0.0,0.0
2001,AR,1552190.0,22468.0,2657819.54,0.0,0.0
2001,CA,9712748.0,80803.0,21418530.14,8429635.969999999,0.0
2001,CO,1614708.0,30707.0,2300803.55,0.0,0.0
2001,CT,4222778.0,69176.0,6844387.42,0.0,0.0
2001,DC,468862.0,9003.0,721816.9,0.0,0.0
2001,DE,1451589.0,24649.0,1695663.8000000003,0.0,0.0
2001,FL,14128438.871,226299.0,33594784.129999995,0.0,0.0
2001,GA,6427551.0,125273.0,12228566.14,77594.32,0.0
2001,HI,980063.0,12640.0,2080278.5200000003,0.0,0.0
2001,IA,1183906.0,18033.0,2038997.06,0.0,0.0
2001,ID,626701.0,10315.0,1317030.0399999996,0.0,0.0
2001,IL,2324663.0,33984.0,4460540.390000001,9678.130000000001,0.0
2001,IN,4285182.0,66706.0,8954039.629999999,6099184.38,164299.86
2001,KS,1224975.0,19548.0,2424194.53,0.0,0.0
2001,KY,1974427.0,29801.0,3875203.36,1717735.3000000003,0.0
2001,LA,2747079.0,52468.0,5068681.529999999,8629.62,0.0
2001,MA,13107856.0,194920.0,19251237.21,0.0,0.0
2001,MD,2440127.0,48446.0,3301407.99,0.0,0.0
2001,ME,4103624.0,64769.0,4874455.3,0.0,0.0
2001,MI,3544837.0,44316.0,8560912.950000001,0.0,0.0
2001,MN,1992212.0,33627.0,2675657.66,1619.85,0.0
2001,MO,5632504.0,81741.0,11694747.64,0.0,0.0
2001,MS,2233041.031,42796.0,5069727.32,4412000.12,0.0
2001,MT,1045928.041,18272.0,1632504.85,0.0,0.0
2001,NC,12926080.0,207704.0,17930646.21,0.0,0.0
2001,ND,311873.0,5764.0,454926.8,0.0,0.0
2001,NE,1108430.0,19324.0,1557682.79,0.0,0.0
2001,NH,1471083.0,27959.0,2273007.96,2178808.3600000003,0.0
2001,NJ,5358821.0,89622.0,8350162.960000001,33701.97,0.0
2001,NM,510284.04000000004,6461.0,916278.28,0.0,0.0
2001,NV,905576.0,12885.0,2164299.1500000004,2164299.1500000004,0.0
2001,NY,11009593.0,101082.0,13586410.739999998,85666.17,0.0
2001,OH,11141515.0,205856.0,19524356.67,0.0,0.0
2001,OK,1635975.653,22482.0,2972275.61,2777.91,0.0
2001,OR,3164901.0,47103.0,4524102.1899999995,0.0,0.0
2001,PA,7340912.0,126169.0,12173666.98,63703.57,0.0
2001,RI,1147345.0,17658.0,1927136.95,0.0,0.0
2001,SC,4231219.0600000005,70152.0,6873873.109999999,6154449.0,7014.199999999999
2001,SD,270852.0,5127.0,373871.86000000004,2207.84,0.0
2001,TN,4841937.0,78053.0,8143864.66,0.0,0.0
2001,TX,3054749.0,30459.0,8047967.23,1265347.99,0.0
2001,UT,1294646.0,26380.0,2032769.6500000001,0.0,0.0
2001,VA,4124676.0,65515.0,6108013.69,0.0,0.0
2001,VT,213851.03,3743.0,286669.95,0.0,0.0
2001,WA,8737138.469,133616.0,13557922.780000001,0.0,0.0
2001,WI,4441434.0,66962.0,7145021.800000001,0.0,0.0
2001,WV,3219488.8770000003,55917.0,5286583.25,0.0,0.0
2001,WY,220425.0,4507.0,265812.36,0.0,0.0
2001,XX,189865466.792,2908883.0,333748293.84000003,32793854.520000003,171314.65999999997
2002,AK,2015792.0,29390.0,4236830.35,0.0,0.0
2002,AL,2354616.77,50676.0,5517267.21,0.0,0.0
2002,AR,1847746.0,26997.0,2992208.12,0.0,0.0
2002,CA,15523130.0,126075.0,40631688.53,914805.85,0.0
2002,CO,2798011.0,53215.0,4002070.6400000006,0.0,0.0
2002,CT,5145757.614,80024.0,8301998.0600000005,0.0,0.0
2002,DC,484462.0,9321.0,735472.8099999998,0.0,0.0
2002,DE,1742095.0,26101.0,1411011.92,0.0,0.0
2002,FL,17079899.14,269405.0,36127955.67,0.0,0.0
2002,GA,6536733.0,130946.0,11261773.57,0.0,0.0
2002,HI,1304778.0,14831.0,3102413.0,24797.649999999998,0.0
2002,IA,2009511.0,29392.0,3168664.9299999997,0.0,0.0
2002,ID,970934.7,15063.0,2205546.35,2174631.24,5014.2
2002,IL,3251540.0,49498.0,6554067.92,3823.88,0.0
2002,IN,4364196.0,69061.0,8639143.46,4313778.220000001,106273.89
2002,KS,1552497.0,24815.0,3027765.4299999997,2824.26,0.0
2002,KY,2317954.0,40753.0,4168092.3000000003,3599655.18,0.0
